Distance, Median set size, Permutation Size 
2,1,4
3,1,4
3,1,4
2,1,4
2,1,4
2,1,4
3,1,4
4,1,4
4,1,4
3,1,4
4,1,4
5,1,4
3,1,4
4,1,4
5,1,4
6,1,4
5,1,4
4,1,4
6,1,4
5,1,4
4,1,4
3,1,4
2,1,4
3,1,4
3,1,4
2,1,4
3,1,4
3,1,4
4,1,4
5,1,4
4,1,4
3,1,4
4,1,4
2,1,4
3,1,4
4,1,4
5,1,4
6,1,4
5,1,4
6,1,4
5,1,4
4,1,4
4,1,4
3,1,4
4,3,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
4,1,4
5,1,4
3,1,4
3,1,4
4,1,4
5,1,4
7,3,4
6,3,4
6,1,4
5,1,4
4,1,4
5,3,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
5,1,4
6,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
6,1,4
5,1,4
4,1,4
4,1,4
3,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
5,1,4
6,1,4
4,1,4
5,3,4
6,3,4
7,3,4
5,1,4
4,1,4
6,1,4
5,1,4
4,1,4
3,1,4
2,1,4
2,1,4
3,1,4
4,1,4
3,1,4
3,1,4
4,1,4
3,1,4
4,1,4
5,1,4
5,1,4
5,1,4
4,1,4
6,1,4
6,1,4
5,1,4
4,1,4
3,1,4
4,1,4
4,1,4
3,1,4
4,1,4
5,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
4,1,4
6,1,4
6,1,4
5,1,4
4,1,4
3,1,4
4,1,4
4,1,4
3,1,4
4,1,4
4,3,4
5,3,4
6,3,4
5,1,4
5,1,4
5,1,4
6,1,4
7,3,4
6,1,4
5,1,4
4,1,4
5,3,4
4,1,4
4,1,4
5,3,4
6,3,4
6,1,4
5,1,4
5,1,4
6,3,4
6,1,4
7,1,4
7,1,4
6,1,4
4,1,4
5,1,4
5,1,4
6,3,4
7,3,4
7,1,4
6,1,4
5,1,4
5,1,4
6,1,4
7,1,4
7,3,4
6,3,4
5,1,4
6,3,4
5,1,4
6,1,4
7,1,4
7,3,4
5,1,4
4,1,4
6,1,4
7,3,4
6,3,4
5,3,4
4,1,4
3,1,4
4,1,4
5,1,4
5,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
4,1,4
5,1,4
6,3,4
5,1,4
6,1,4
7,3,4
6,1,4
7,3,4
7,1,4
7,1,4
3,1,4
4,1,4
5,1,4
7,3,4
6,1,4
6,1,4
5,1,4
5,1,4
5,1,4
4,1,4
5,1,4
7,1,4
7,3,4
6,1,4
5,1,4
5,1,4
6,3,4
5,1,4
7,1,4
7,1,4
6,1,4
5,1,4
6,3,4
6,1,4
7,3,4
7,1,4
6,1,4
6,1,4
7,3,4
7,1,4
5,1,4
6,1,4
7,3,4
6,1,4
5,1,4
6,1,4
6,1,4
5,1,4
4,1,4
6,1,4
6,1,4
6,1,4
5,1,4
5,1,4
4,1,4
3,1,4
4,3,4
3,1,4
3,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
4,1,4
5,1,4
3,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
7,3,4
6,3,4
5,3,4
4,1,4
3,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
5,1,4
6,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
6,1,4
5,1,4
4,1,4
4,1,4
2,1,4
4,1,4
3,1,4
5,1,4
6,1,4
5,1,4
4,1,4
6,3,4
7,3,4
5,3,4
4,1,4
5,1,4
6,1,4
5,1,4
4,1,4
5,1,4
4,1,4
3,1,4
3,1,4
3,1,4
2,1,4
4,1,4
5,1,4
4,1,4
3,1,4
5,1,4
6,1,4
4,1,4
4,1,4
5,1,4
6,1,4
4,1,4
3,1,4
5,1,4
4,1,4
3,1,4
2,1,4
2,1,4
3,1,4
4,1,4
4,1,4
3,1,4
4,1,4
5,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
4,1,4
6,1,4
6,1,4
5,1,4
4,1,4
3,1,4
4,1,4
3,1,4
2,1,4
4,1,4
5,1,4
4,1,4
5,1,4
6,1,4
6,1,4
4,1,4
3,1,4
5,1,4
5,1,4
4,1,4
3,1,4
4,1,4
5,3,4
4,1,4
4,1,4
5,1,4
5,3,4
6,3,4
7,3,4
6,1,4
6,3,4
5,1,4
7,3,4
7,1,4
6,1,4
5,1,4
4,1,4
4,1,4
5,1,4
5,1,4
6,3,4
7,3,4
7,1,4
6,1,4
5,1,4
5,1,4
6,1,4
7,1,4
7,3,4
6,3,4
3,1,4
6,3,4
5,1,4
6,1,4
7,1,4
7,1,4
6,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,3,4
5,3,4
5,1,4
5,1,4
5,1,4
6,1,4
7,3,4
6,1,4
4,1,4
3,1,4
5,1,4
6,3,4
5,3,4
4,3,4
5,1,4
4,1,4
5,1,4
6,1,4
6,1,4
7,3,4
6,1,4
7,1,4
7,1,4
7,3,4
6,1,4
5,1,4
6,1,4
7,3,4
6,1,4
6,1,4
6,1,4
7,3,4
7,1,4
7,1,4
7,3,4
4,1,4
5,1,4
6,1,4
7,1,4
6,1,4
7,1,4
6,1,4
6,3,4
5,1,4
5,1,4
6,1,4
7,1,4
6,1,4
7,3,4
6,3,4
5,1,4
5,1,4
6,1,4
7,3,4
6,1,4
6,1,4
5,1,4
5,1,4
5,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
4,1,4
5,1,4
6,3,4
5,1,4
4,1,4
5,1,4
5,1,4
4,1,4
3,1,4
5,1,4
5,1,4
5,1,4
4,1,4
4,1,4
3,1,4
2,1,4
3,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
3,1,4
4,1,4
2,1,4
2,1,4
3,1,4
4,1,4
6,1,4
5,1,4
5,1,4
4,1,4
3,1,4
4,1,4
3,1,4
4,1,4
5,3,4
5,1,4
6,1,4
7,3,4
6,3,4
4,1,4
5,1,4
3,1,4
3,1,4
4,1,4
5,1,4
6,1,4
5,1,4
5,1,4
4,1,4
3,1,4
4,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
5,1,4
6,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
6,1,4
5,1,4
4,1,4
4,1,4
3,1,4
3,1,4
4,1,4
5,1,4
4,1,4
4,3,4
5,3,4
3,1,4
4,1,4
5,1,4
6,3,4
6,1,4
5,1,4
7,3,4
6,1,4
5,1,4
5,1,4
4,1,4
5,1,4
5,1,4
4,1,4
5,3,4
6,3,4
4,1,4
5,1,4
6,1,4
7,3,4
6,1,4
5,1,4
7,1,4
7,3,4
6,3,4
5,1,4
4,1,4
5,1,4
5,1,4
3,1,4
4,1,4
3,1,4
4,1,4
5,1,4
5,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
5,1,4
6,3,4
4,1,4
4,1,4
4,1,4
5,1,4
6,3,4
5,1,4
6,1,4
7,3,4
6,1,4
7,3,4
7,1,4
7,1,4
5,1,4
5,1,4
5,1,4
5,1,4
6,1,4
7,3,4
6,1,4
6,1,4
6,1,4
7,3,4
7,1,4
7,1,4
7,3,4
6,3,4
6,1,4
5,1,4
6,1,4
7,1,4
7,1,4
6,1,4
5,1,4
7,1,4
7,1,4
6,1,4
6,3,4
3,1,4
2,1,4
3,1,4
4,1,4
4,1,4
6,1,4
7,3,4
5,1,4
5,1,4
5,1,4
6,1,4
3,1,4
4,1,4
5,3,4
4,1,4
6,1,4
7,1,4
5,1,4
6,3,4
6,1,4
7,1,4
2,1,4
3,1,4
4,1,4
6,1,4
6,1,4
5,1,4
4,1,4
4,1,4
5,1,4
3,1,4
4,1,4
6,1,4
6,1,4
5,1,4
4,1,4
4,1,4
5,1,4
4,1,4
6,1,4
7,3,4
5,1,4
4,1,4
5,3,4
6,3,4
6,1,4
7,1,4
5,1,4
5,1,4
6,3,4
7,3,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
7,3,4
6,1,4
5,1,4
5,1,4
5,1,4
5,1,4
6,1,4
4,1,4
5,1,4
4,1,4
2,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
4,1,4
5,1,4
3,1,4
2,1,4
3,1,4
4,1,4
5,1,4
4,1,4
4,1,4
3,1,4
2,1,4
3,1,4
5,3,4
4,1,4
6,3,4
7,3,4
6,1,4
5,1,4
5,1,4
6,1,4
4,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
5,1,4
4,1,4
3,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
5,3,4
6,3,4
4,1,4
4,1,4
5,1,4
6,1,4
7,1,4
6,1,4
7,1,4
6,1,4
5,1,4
6,3,4
5,1,4
6,1,4
6,1,4
5,1,4
6,3,4
7,3,4
5,1,4
5,1,4
6,1,4
7,1,4
7,3,4
6,3,4
7,1,4
6,1,4
5,1,4
5,1,4
5,1,4
6,1,4
6,1,4
4,1,4
5,1,4
4,1,4
4,1,4
5,1,4
6,3,4
7,1,4
7,1,4
7,3,4
6,1,4
6,1,4
7,3,4
6,1,4
7,3,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
7,3,4
7,1,4
6,1,4
6,1,4
7,3,4
7,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
7,3,4
7,1,4
6,1,4
6,1,4
7,3,4
7,1,4
6,1,4
5,1,4
7,3,4
6,1,4
5,1,4
5,1,4
4,1,4
3,1,4
3,1,4
4,1,4
5,3,4
7,3,4
7,1,4
6,3,4
5,1,4
5,1,4
6,1,4
4,1,4
4,1,4
4,1,4
4,1,4
6,1,4
7,1,4
5,1,4
5,1,4
6,3,4
7,3,4
2,1,4
3,1,4
4,1,4
6,1,4
6,1,4
5,1,4
4,1,4
4,1,4
5,1,4
2,1,4
3,1,4
5,1,4
5,1,4
4,1,4
3,1,4
3,1,4
4,1,4
3,1,4
5,1,4
6,3,4
4,1,4
3,1,4
4,3,4
5,3,4
5,1,4
6,1,4
4,1,4
4,1,4
5,3,4
6,3,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
6,3,4
5,1,4
4,1,4
4,1,4
4,1,4
4,1,4
5,1,4
3,1,4
4,1,4
3,1,4
4,1,4
3,1,4
5,1,4
6,1,4
5,1,4
4,1,4
5,1,4
6,1,4
4,1,4
3,1,4
4,1,4
5,1,4
4,1,4
3,1,4
4,1,4
3,1,4
2,1,4
2,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
6,3,4
7,3,4
5,1,4
5,1,4
6,1,4
7,1,4
7,3,4
6,3,4
7,1,4
6,1,4
5,1,4
5,1,4
5,1,4
6,1,4
5,1,4
4,1,4
6,1,4
7,1,4
6,3,4
5,1,4
6,1,4
7,1,4
6,3,4
5,3,4
6,1,4
5,1,4
4,1,4
4,1,4
6,1,4
7,3,4
6,1,4
5,1,4
6,1,4
5,1,4
5,1,4
6,1,4
7,3,4
7,1,4
7,3,4
7,1,4
7,3,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
5,1,4
7,1,4
7,3,4
7,1,4
7,3,4
6,1,4
6,1,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
7,1,4
7,1,4
7,3,4
6,1,4
6,1,4
7,3,4
5,1,4
4,1,4
6,3,4
5,1,4
4,1,4
4,1,4
5,1,4
4,1,4
4,1,4
5,1,4
6,3,4
7,1,4
7,1,4
6,1,4
6,3,4
5,1,4
6,1,4
5,1,4
5,1,4
5,1,4
5,1,4
6,1,4
7,3,4
5,1,4
5,1,4
5,1,4
6,1,4
3,1,4
4,1,4
5,1,4
7,3,4
6,1,4
6,3,4
5,3,4
4,1,4
5,1,4
3,1,4
4,1,4
6,3,4
5,1,4
5,3,4
4,3,4
3,1,4
4,1,4
4,1,4
5,1,4
5,1,4
4,1,4
3,1,4
3,1,4
4,1,4
5,1,4
6,3,4
4,1,4
4,1,4
4,1,4
5,1,4
4,1,4
4,1,4
4,1,4
4,1,4
4,1,4
5,3,4
4,1,4
3,1,4
3,1,4
3,1,4
3,1,4
4,1,4
2,1,4
3,1,4
2,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
5,1,4
6,1,4
5,1,4
6,3,4
7,3,4
7,1,4
6,3,4
5,3,4
7,3,4
6,1,4
5,1,4
4,1,4
4,1,4
5,1,4
4,1,4
3,1,4
5,1,4
6,1,4
5,1,4
5,1,4
6,1,4
7,3,4
5,3,4
4,3,4
6,3,4
5,1,4
4,1,4
3,1,4
5,1,4
6,3,4
5,1,4
5,1,4
6,1,4
6,3,4
6,1,4
7,1,4
7,1,4
6,1,4
6,3,4
7,1,4
7,1,4
6,1,4
5,1,4
5,1,4
5,1,4
6,1,4
6,1,4
7,3,4
7,1,4
7,1,4
7,3,4
5,1,4
5,1,4
6,1,4
7,3,4
6,1,4
5,1,4
4,1,4
7,3,4
6,1,4
7,1,4
7,1,4
7,3,4
6,1,4
4,1,4
4,1,4
5,1,4
6,3,4
5,1,4
4,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
4,1,4
3,1,4
5,1,4
5,1,4
4,1,4
3,1,4
6,1,4
5,1,4
5,1,4
6,1,4
7,3,4
7,1,4
7,3,4
7,1,4
7,3,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
4,1,4
5,1,4
6,1,4
7,1,4
6,1,4
7,3,4
6,3,4
5,1,4
5,1,4
4,1,4
5,1,4
6,1,4
5,1,4
6,3,4
5,3,4
4,1,4
4,1,4
5,1,4
6,3,4
5,1,4
5,1,4
4,1,4
4,1,4
4,1,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
3,1,4
4,1,4
5,3,4
4,1,4
3,1,4
4,1,4
4,1,4
3,1,4
2,1,4
4,1,4
4,1,4
4,1,4
3,1,4
3,1,4
2,1,4
2,1,4
3,1,4
3,1,4
2,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
4,1,4
3,1,4
5,1,4
6,1,4
5,1,4
4,1,4
2,1,4
3,1,4
3,1,4
2,1,4
3,1,4
3,1,4
4,1,4
5,1,4
4,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
3,1,4
4,3,4
3,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
4,1,4
5,3,4
5,1,4
6,1,4
7,3,4
6,3,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
4,1,4
5,3,4
5,1,4
6,1,4
7,3,4
6,3,4
4,1,4
3,1,4
5,1,4
6,1,4
5,1,4
4,1,4
3,1,4
3,1,4
4,1,4
5,1,4
4,1,4
5,1,4
5,1,4
5,1,4
6,1,4
7,3,4
6,1,4
4,1,4
5,1,4
5,1,4
4,1,4
5,1,4
6,3,4
5,1,4
6,1,4
7,1,4
7,3,4
4,1,4
5,1,4
5,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
5,1,4
6,3,4
7,1,4
7,1,4
7,3,4
6,1,4
6,1,4
7,3,4
5,1,4
7,3,4
7,1,4
6,1,4
6,1,4
7,3,4
7,1,4
6,3,4
6,1,4
5,1,4
6,1,4
7,1,4
7,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
5,1,4
6,1,4
5,1,4
4,1,4
6,1,4
7,3,4
6,1,4
6,1,4
6,1,4
5,1,4
3,1,4
4,3,4
3,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
5,3,4
4,1,4
6,3,4
7,3,4
6,1,4
5,1,4
3,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
2,1,4
5,3,4
4,1,4
6,3,4
7,3,4
6,1,4
5,1,4
3,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
3,1,4
2,1,4
4,1,4
5,1,4
4,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
6,3,4
5,1,4
6,1,4
7,1,4
7,1,4
6,1,4
5,1,4
6,1,4
6,1,4
5,1,4
5,1,4
5,1,4
6,3,4
7,3,4
7,1,4
6,1,4
5,1,4
6,1,4
6,1,4
7,3,4
6,1,4
7,1,4
7,1,4
7,3,4
6,1,4
6,1,4
7,3,4
7,1,4
7,3,4
7,1,4
7,3,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
5,1,4
5,1,4
5,1,4
6,1,4
7,3,4
6,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
4,1,4
5,1,4
4,1,4
3,1,4
5,1,4
6,3,4
5,1,4
5,1,4
5,1,4
4,1,4
2,1,4
3,1,4
2,1,4
2,1,4
3,1,4
4,1,4
4,1,4
3,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
3,1,4
3,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
2,1,4
2,1,4
3,1,4
4,1,4
3,1,4
4,1,4
5,1,4
4,1,4
5,1,4
6,1,4
6,1,4
3,1,4
4,1,4
4,1,4
3,1,4
4,1,4
5,1,4
4,1,4
5,1,4
6,1,4
6,1,4
3,1,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
5,1,4
6,1,4
7,3,4
4,1,4
5,3,4
6,1,4
7,1,4
6,3,4
5,1,4
6,1,4
7,1,4
4,1,4
6,3,4
7,3,4
5,1,4
5,1,4
6,1,4
7,1,4
5,3,4
6,3,4
4,1,4
5,1,4
6,1,4
7,3,4
4,1,4
4,1,4
5,1,4
6,1,4
5,1,4
5,1,4
6,1,4
6,1,4
5,1,4
5,1,4
6,1,4
6,1,4
6,1,4
7,3,4
6,1,4
2,1,4
3,1,4
2,1,4
4,1,4
5,1,4
4,1,4
3,1,4
2,1,4
3,1,4
3,1,4
4,1,4
5,1,4
4,1,4
4,1,4
3,1,4
5,1,4
6,1,4
5,1,4
4,1,4
3,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
2,1,4
3,1,4
4,1,4
4,1,4
3,1,4
4,1,4
5,1,4
4,1,4
5,1,4
6,1,4
6,1,4
3,1,4
4,1,4
3,1,4
2,1,4
3,1,4
4,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
5,3,4
4,1,4
5,1,4
6,1,4
5,1,4
6,3,4
7,3,4
7,1,4
4,1,4
4,1,4
6,3,4
7,3,4
5,1,4
5,1,4
6,1,4
7,1,4
3,1,4
5,3,4
6,3,4
4,1,4
4,1,4
5,1,4
6,1,4
4,3,4
5,3,4
3,1,4
4,1,4
5,1,4
6,3,4
3,1,4
3,1,4
4,1,4
5,1,4
4,1,4
4,1,4
5,1,4
5,1,4
4,1,4
4,1,4
5,1,4
5,1,4
5,1,4
6,3,4
5,1,4
4,1,4
3,1,4
5,1,4
6,1,4
5,1,4
4,1,4
2,1,4
2,1,4
3,1,4
4,1,4
4,1,4
3,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
4,1,4
5,1,4
5,3,4
6,3,4
7,3,4
6,1,4
4,1,4
5,1,4
4,1,4
3,1,4
3,1,4
4,1,4
4,3,4
5,3,4
6,3,4
5,1,4
5,1,4
6,3,4
5,1,4
5,1,4
6,1,4
6,3,4
6,1,4
7,1,4
7,1,4
5,1,4
5,1,4
5,1,4
6,1,4
5,1,4
5,1,4
6,1,4
7,3,4
4,1,4
4,1,4
5,1,4
4,1,4
4,1,4
5,1,4
6,3,4
3,1,4
4,1,4
3,1,4
4,1,4
5,1,4
5,1,4
2,1,4
2,1,4
3,1,4
4,1,4
3,1,4
3,1,4
4,1,4
4,1,4
3,1,4
3,1,4
4,1,4
4,1,4
4,1,4
5,3,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
5,1,4
5,1,4
6,3,4
7,3,4
7,1,4
6,1,4
5,1,4
6,1,4
5,1,4
4,1,4
4,1,4
4,1,4
5,3,4
6,3,4
6,1,4
5,1,4
6,1,4
7,3,4
6,1,4
6,1,4
6,1,4
7,3,4
7,1,4
7,1,4
7,3,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
6,1,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
5,1,4
4,1,4
4,1,4
4,1,4
5,1,4
6,3,4
5,1,4
2,1,4
3,1,4
4,1,4
4,1,4
3,1,4
3,1,4
4,1,4
3,1,4
2,1,4
4,1,4
5,3,4
4,1,4
4,1,4
4,1,4
3,1,4
2,1,4
3,1,4
3,1,4
2,1,4
4,1,4
5,1,4
3,1,4
4,1,4
5,1,4
6,1,4
2,1,4
3,1,4
3,1,4
5,1,4
6,1,4
4,1,4
4,1,4
5,1,4
6,1,4
3,1,4
4,3,4
6,3,4
7,3,4
5,3,4
4,1,4
5,1,4
6,1,4
3,1,4
5,1,4
6,1,4
4,1,4
4,1,4
5,1,4
6,1,4
4,1,4
5,1,4
3,1,4
4,1,4
5,1,4
6,1,4
5,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
6,1,4
7,3,4
6,1,4
4,1,4
5,1,4
6,1,4
5,1,4
6,1,4
6,1,4
3,1,4
4,3,4
3,1,4
5,1,4
6,1,4
4,1,4
5,3,4
6,3,4
7,3,4
3,1,4
3,1,4
5,1,4
6,1,4
4,1,4
4,1,4
5,1,4
6,1,4
2,1,4
4,1,4
5,1,4
3,1,4
3,1,4
4,1,4
5,1,4
3,1,4
4,1,4
2,1,4
3,1,4
4,1,4
5,1,4
4,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
5,1,4
6,3,4
5,1,4
3,1,4
4,1,4
5,1,4
4,1,4
5,1,4
5,1,4
2,1,4
3,1,4
5,1,4
6,1,4
4,1,4
3,1,4
4,1,4
5,1,4
3,1,4
5,1,4
6,1,4
4,1,4
3,1,4
4,1,4
5,1,4
5,1,4
6,1,4
4,1,4
4,1,4
5,1,4
6,1,4
6,1,4
5,1,4
5,1,4
6,1,4
7,3,4
6,1,4
6,1,4
6,1,4
6,1,4
4,1,4
5,1,4
6,1,4
4,1,4
5,1,4
5,1,4
2,1,4
4,1,4
5,1,4
3,1,4
2,1,4
3,1,4
4,1,4
4,1,4
5,1,4
3,1,4
3,1,4
4,1,4
5,1,4
5,1,4
4,1,4
4,1,4
5,1,4
6,3,4
5,1,4
5,1,4
5,1,4
5,1,4
3,1,4
4,1,4
5,1,4
3,1,4
4,1,4
4,1,4
3,1,4
4,1,4
2,1,4
2,1,4
3,1,4
4,1,4
4,1,4
3,1,4
3,1,4
4,1,4
5,3,4
4,1,4
4,1,4
4,1,4
4,1,4
2,1,4
3,1,4
4,1,4
2,1,4
3,1,4
3,1,4
3,1,4
2,1,4
3,1,4
4,1,4
4,1,4
3,1,4
4,1,4
5,3,4
4,1,4
2,1,4
3,1,4
4,1,4
3,1,4
4,1,4
4,1,4
2,1,4
3,1,4
3,1,4
2,1,4
2,1,4
3,1,4
3,1,4
3,1,4
4,3,4
3,1,4
3,1,4
4,3,4
3,1,4
3,1,4
3,1,4
2,1,4
2,1,4
3,1,4
3,1,4
2,1,4
