n,|A|,|B|,|AB|,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,D_ktaub,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
5,3,2,0,1,5,1,18,6,2,1,11,1,0,1
5,3,2,0,1,9,0,8,4,2,1,16,0,0,1
5,3,2,0,1,9,0,6,3,2,1,17,1,0,0
5,3,2,0,1,11,0,8,4,2,1,18,0,0,1
5,3,2,0,3,9,1,18,6,2,1,21,0,0,1
5,3,2,0,1,7,1,6,3,2,3,18,0,0,0
5,3,2,0,1,6,1,40,8,2,1,18,1,0,1
5,3,2,0,3,10,1,15,6,2,4,20,1,0,3
5,3,2,0,1,8,1,8,4,2,2,18,1,0,0
5,3,2,0,1,9,0,14,5,2,1,18,0,0,1
5,3,2,0,1,9,1,30,8,2,3,18,0,0,3
5,3,2,0,3,9,1,20,6,2,1,15,0,0,1
5,3,2,0,1,6,0,11,5,2,1,18,0,0,0
5,3,2,0,1,8,1,14,5,2,2,15,1,0,2
5,3,2,0,1,9,1,5,3,2,1,14,1,0,1
5,3,2,0,1,7,1,40,8,2,1,17,0,0,1
5,3,2,0,3,11,1,8,4,2,3,19,0,0,2
5,3,2,0,1,8,0,10,5,2,1,13,0,1,1
5,3,2,0,1,8,0,20,7,2,1,19,0,1,1
5,3,2,0,2,11,2,8,4,2,3,17,0,1,3
5,3,2,0,1,10,0,25,7,2,3,20,1,0,2
5,3,2,0,1,10,1,24,6,2,3,18,0,0,3
5,3,2,0,1,7,1,10,5,2,1,12,1,0,1
5,3,2,0,1,5,1,2,1,2,3,13,0,0,0
5,3,2,0,1,8,0,11,5,2,2,16,0,0,1
5,3,2,0,1,9,0,12,5,2,1,15,1,0,1
5,3,2,0,1,7,1,15,6,2,1,14,0,1,1
5,3,2,0,3,8,1,40,8,2,1,16,0,0,1
5,3,2,0,1,5,1,4,2,2,1,12,0,0,0
5,3,2,0,1,9,0,11,5,2,1,15,0,0,1
5,3,2,0,1,8,0,40,8,2,1,18,0,0,1
5,3,2,0,1,8,1,7,4,2,2,19,1,0,0
5,3,2,0,1,6,1,10,5,2,1,16,0,0,0
5,3,2,0,1,10,0,12,5,2,1,16,0,0,1
5,3,2,0,1,8,1,12,5,2,1,14,0,0,1
5,3,2,0,1,5,0,7,4,2,1,10,1,0,1
5,3,2,0,3,9,1,8,4,2,1,21,0,0,0
5,3,2,0,3,11,1,10,6,2,1,20,0,0,0
5,3,2,0,1,6,0,5,3,2,1,15,0,0,0
5,3,2,1,1,7,1,3,2,2,3,9,1,2,3
5,3,2,0,1,8,0,6,3,2,1,13,0,0,1
5,3,2,0,1,7,0,14,5,2,3,14,0,1,3
5,3,2,0,1,7,1,10,6,2,2,19,1,0,1
5,3,2,0,2,12,0,25,7,2,2,21,1,0,2
5,3,2,0,1,6,0,6,3,2,1,13,0,0,0
5,3,2,0,1,9,1,2,1,2,1,17,0,1,1
5,3,2,0,1,9,0,20,7,2,1,16,0,0,1
5,3,2,0,3,11,1,15,6,2,1,20,0,0,1
5,3,2,0,1,5,1,7,4,2,1,14,0,0,0
5,3,2,0,1,7,0,30,7,2,1,14,0,0,1
5,3,2,0,1,7,0,12,5,2,1,17,1,0,0
5,3,2,0,1,6,0,12,5,2,1,12,0,1,1
5,3,2,0,1,7,1,12,5,2,1,14,1,0,1
5,3,2,0,1,8,0,30,7,2,1,20,0,0,0
5,3,2,0,3,9,2,20,6,2,3,19,1,0,2
5,3,2,0,3,8,0,16,6,2,1,18,1,0,0
5,3,2,0,1,9,0,3,2,2,1,17,0,0,0
5,3,2,0,1,5,0,8,4,2,1,13,0,0,0
5,3,2,0,1,10,0,25,7,2,3,21,0,0,2
5,3,2,1,1,11,0,4,3,2,4,15,1,2,4
5,3,2,0,1,8,1,12,5,2,1,16,0,0,0
5,3,2,0,1,6,1,14,5,2,1,11,1,0,1
5,3,2,0,1,8,0,4,2,2,1,16,0,0,0
5,3,2,0,3,8,0,2,1,2,1,11,0,1,1
5,3,2,0,1,8,0,10,6,2,1,18,0,0,0
5,3,2,0,5,12,1,4,3,2,1,16,0,0,1
5,3,2,0,3,8,1,40,8,2,1,17,0,0,1
5,3,2,0,1,7,1,16,6,2,1,16,0,0,0
5,3,2,0,1,6,1,12,5,2,1,16,1,0,0
5,3,2,0,1,11,0,12,5,2,1,20,0,0,1
5,3,2,0,1,4,1,2,1,2,1,18,0,0,0
5,3,2,0,1,4,0,40,8,2,1,12,0,0,1
5,3,2,0,1,4,0,20,7,2,1,14,1,0,0
5,3,2,0,1,10,0,11,5,2,1,17,0,0,1
5,3,2,0,1,9,0,5,3,2,1,14,0,0,1
5,3,2,0,1,5,1,5,3,2,1,12,0,0,0
5,3,2,0,1,7,1,2,1,2,2,16,0,0,0
5,3,2,0,1,7,1,8,4,2,1,12,0,0,1
5,3,2,0,1,8,1,8,4,2,1,14,1,0,1
5,3,2,0,1,7,0,6,3,2,1,14,0,0,1
5,3,2,0,1,4,0,6,3,2,1,14,1,0,0
5,3,2,0,1,11,1,8,4,2,1,17,0,1,1
5,3,2,0,1,7,0,8,4,2,1,15,0,0,0
5,3,2,0,1,11,0,12,4,2,1,18,0,1,1
5,3,2,0,1,5,1,25,7,2,2,17,1,0,0
5,3,2,0,3,9,2,30,7,2,1,18,1,0,1
5,3,2,0,1,7,0,2,1,2,2,12,0,1,2
5,3,2,0,1,10,0,5,4,2,1,15,0,0,1
5,3,2,0,1,7,1,8,4,2,2,20,0,0,0
5,3,2,0,1,4,1,40,8,2,1,14,1,0,1
5,3,2,1,1,10,0,3,2,2,1,10,0,1,1
5,3,2,0,1,8,1,18,6,2,3,20,2,0,1
5,3,2,0,1,6,0,11,5,2,1,13,0,0,1
5,3,2,0,1,7,0,20,7,2,1,16,0,0,1
5,3,2,0,1,8,0,12,5,2,1,19,0,0,0
5,3,2,0,1,9,0,6,3,2,1,17,0,0,1
5,3,2,0,1,6,1,6,4,2,1,15,0,0,0
5,3,2,0,1,9,0,10,5,2,1,22,0,1,1
5,3,2,0,1,4,0,40,8,2,1,14,0,0,1
5,3,2,0,1,8,0,25,7,2,1,15,0,0,1
